REPORTING YEAR	TRADE SECRET INDICATOR	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	QUANTITY RELEASED PRIOR YEAR	QUANTITY RELEASED CURRENT YEAR	QUANTITY RELEASED FOLLOWING YEAR	QUANTITY RELEASED SECOND FOLLOWING YEAR	ENERGY RECOVERY ONSITE PRIOR YEAR	ENERGY RECOVERY ONSITE CURRENT YEAR	ENERGY RECOVERY ONSITE FOLLOWING YEAR	ENERGY RECOVERY ONSITE SECOND FOLLOWING YEAR	ENERGY RECOVERY OFFSITE PRIOR YEAR	ENERGY RECOVERY OFFSITE CURRENT YEAR	ENERGY RECOVERY OFFSITE FOLLOWING YEAR	ENERGY RECOVERY OFFSITE SECOND FOLLOWING YEAR	QUANTITY RECYCLED ONSITE PRIOR YEAR	QUANTITY RECYCLED ONSITE CURRENT YEAR	QUANTITY RECYCLED ONSITE FOLLOWING YEAR	QUANTITY RECYCLED ONSITE SECOND FOLLOWING YEAR	QUANTITY RECYCLED OFFSITE PRIOR YEAR	QUANTITY RECYCLED OFFSITE CURRENT YEAR	QUANTITY RECYCLED OFFSITE FOLLOWING YEAR	QUANTITY RECYCLED OFFSITE SECOND FOLLOWING YEAR	QUANTITY TREATED ONSITE PRIOR YEAR	QUANTITY TREATED ONSITE CURRENT YEAR	QUANTITY TREATED ONSITE FOLLOWING YEAR	QUANTITY TREATED ONSITE SECOND FOLLOWING YEAR	QUANTITY TREATED OFFSITE PRIOR YEAR	QUANTITY TREATED OFFSITE CURRENT YEAR	QUANTITY TREATED OFFSITE FOLLOWING YEAR	QUANTITY TREATED OFFSITE SECOND FOLLOWING YEAR	CATASTROPHIC RELEASES OR OTHER ONE-TIME EVENTS	PROD RATIO/ACTIVITY INDEX	FIRST SOURCE REDUCTION ACTIVITY	FIRST SOURCE REDUCTION ACTIVITY DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 1	FIRST SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 2	FIRST SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 3	FIRST SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	SECOND SOURCE REDUCTION ACTIVITY	SECOND SOURCE REDUCTION ACTIVITY DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 1	SECOND SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 2	SECOND SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 3	SECOND SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	THIRD SOURCE REDUCTION ACTIVITY	THIRD SOURCE REDUCTION ACTIVITY DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 1	THIRD SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 2	THIRD SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 3	THIRD SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	FOURTH SOURCE REDUCTION ACTIVITY	FOURTH SOURCE REDUCTION ACTIVITY DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 1	FOURTH SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 2	FOURTH SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 3	FOURTH SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	ON-SITE LIMITED RELEASE PRIOR YEAR	ON-SITE LIMITED RELEASE CURRENT YEAR	ON-SITE LIMITED RELEASE FOLLOWING YEAR	ON-SITE LIMITED RELEASE SECOND FOLLOWING YEAR	ON-SITE OTHER RELEASE PRIOR YEAR	ON-SITE OTHER RELEASE CURRENT YEAR	ON-SITE OTHER RELEASE FOLLOWING YEAR	ON-SITE OTHER RELEASE SECOND FOLLOWING YEAR	OFF-SITE LIMITED RELEASE PRIOR YEAR	OFF-SITE LIMITED RELEASE CURRENT YEAR	OFF-SITE LIMITED RELEASE FOLLOWING YEAR	OFF-SITE LIMITED RELEASE SECOND FOLLOWING YEAR	OFF-SITE OTHER RELEASE PRIOR YEAR	OFF-SITE OTHER RELEASE CURRENT YEAR	OFF-SITE OTHER RELEASE FOLLOWING YEAR	OFF-SITE OTHER RELEASE SECOND FOLLOWING YEAR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
2007	NO	87045MCKNLCOUNT	DURANGO-MCKINLEY PAPER CO	COUNTY RD 19	PREWITT	MCKINLEY	NM	87045	YES	NO	NO	NO								322130						35.410556	-108.084166	796497543								DURANGO-MCKINLEY PAPER CO	794658609	1307205631904	000107211	ETHYLENE GLYCOL	TRI	Pounds																		821	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2942	0	0	15596	14824	0	0	0	0	0	0		1	W42	SUBSTITUTED RAW MATERIALS	T04	PARTICIPATIVE TEAM MANAGEMENT					NA	NA																							0	0	0	0	821	780	0	0	0	0	0	0	0	0	0	0	NO	NA			NO	
2007	NO	87102CRMLN19112	CREAMLAND DAIRIES MILK PLANT	1911 SECOND ST NW	ALBUQUERQUE	BERNALILLO	NM	87102	YES	NO	NO	NO								311511	311513					35.103391	-106.645551	007374978								GANDYS DAIRY		1307205228238	N511	NITRATE COMPOUNDS	TRI	Pounds																		28557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30726	31000	31000	0	1.05	NA	NA																															0	0	0	0	0	0	0	0	0	0	0	0	28557	0	0	0	NO	MIKE_CHAVEZ@DEANFOODS.COM			NO	
2007	NO	87102CRMLN19112	CREAMLAND DAIRIES MILK PLANT	1911 SECOND ST NW	ALBUQUERQUE	BERNALILLO	NM	87102	YES	NO	NO	NO								311511	311513					35.103391	-106.645551	007374978								GANDYS DAIRY		1307205228240	007697372	NITRIC ACID	TRI	Pounds																		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21153	22760	23000	23000	0	0	0	0	0	1.05	NA	NA																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NO	MIKE_CHAVEZ@DEANFOODS.COM			NO	
2007	NO	87102LFLND23FIR	CMC STEEL FABRICATORS INC (DBA CMC REBAR-ALBUQUERQUE)	2300 FIRST ST NW	ALBUQUERQUE	BERNALILLO	NM	87102	YES	NO	NO	NO								332312						35.107743	-106.6435									COMMERCIAL METALS CO	007925845	1307205970484	N495	NICKEL COMPOUNDS	TRI	Pounds																		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NO	STANLEY.MAYER@CMC.COM			YES	
2007	NO	87107KCHMT4949E	HOLLY ASPHALT CO - ALBUQUERQUE NM	4949 EDITH BLVD NE	ALBUQUERQUE	BERNALILLO	NM	87107	YES	NO	NO	NO								324121						35.130133	-106.630816	008965808								HOLLY CORP	008965808	1307205677990	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		.1	.2	.1	.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1.1	NA	NA																															0	0	0	0	0	0	0	0	.1	.2	.1	.1	0	0	0	0	NO	CHARLIE.RODRIQUEZ@HOLLYCORP.COM			NO	
2007	NO	87107KCHMT4949E	HOLLY ASPHALT CO - ALBUQUERQUE NM	4949 EDITH BLVD NE	ALBUQUERQUE	BERNALILLO	NM	87107	YES	NO	NO	NO								324121						35.130133	-106.630816	008965808								HOLLY CORP	008965808	1307205678004	000091203	NAPHTHALENE	TRI	Pounds																		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NO	CHARLIE.RODRIQUEZ@HOLLYCORP.COM			NO	
2007	NO	87107KCHMT4949E	HOLLY ASPHALT CO - ALBUQUERQUE NM	4949 EDITH BLVD NE	ALBUQUERQUE	BERNALILLO	NM	87107	YES	NO	NO	NO								324121						35.130133	-106.630816	008965808								HOLLY CORP	008965808	1307205678016	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		18.5	34	25.4	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.4	.5	.5	.5	0	0	0	0		1.1	NA	NA																															0	0	0	0	.5	.4	.4	.4	18	33.6	25	25	0	0	0	0	NO	CHARLIE.RODRIQUEZ@HOLLYCORP.COM			NO	
2007	NO	87109CDMYC6905W	ACADEMY CORP REFINERY	6905 WASHINGTON NE	ALBUQUERQUE	BERNALILLO	NM	871094418	YES	NO	NO	NO								331492						35.156405	-106.597207	097970065										1307206088686	N100	COPPER COMPOUNDS	TRI	Pounds																		377	580	626	680	0	0	0	0	0	0	0	0	3631	1483	1453	1424	6207	11850	11613	11381	0	0	0	0	0	0	0	0		.98	NA	NA																															0	0	0	0	57	259	254	249	0	0	0	0	320	321	372	431	NO	KPHILIPPI@ACADEMYCORP.COM			YES	
2007	NO	87109CDMYC6905W	ACADEMY CORP REFINERY	6905 WASHINGTON NE	ALBUQUERQUE	BERNALILLO	NM	871094418	YES	NO	NO	NO								331492						35.156405	-106.597207	097970065										1307206088700	N420	LEAD COMPOUNDS	PBT	Pounds																		1125	1112	1290	1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1.16	NA	NA																															0	0	0	0	25	12	14	16	0	0	0	0	1100	1100	1276	1480	NO	KPHILIPPI@ACADEMYCORP.COM			YES	
2007	NO	87109CDMYC6905W	ACADEMY CORP REFINERY	6905 WASHINGTON NE	ALBUQUERQUE	BERNALILLO	NM	871094418	YES	NO	NO	NO								331492						35.156405	-106.597207	097970065										1307206088736	N511	NITRATE COMPOUNDS	TRI	Pounds																		16639	16756	18259	18850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		.98	NA	NA																															0	0	0	0	15	255	250	245	16470	16100	17630	18200	154	401	379	405	NO	KPHILIPPI@ACADEMYCORP.COM			NO	
