TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
06787QLTYR135SO	1311209106020	007697372	NITRIC ACID	TRI	2011	UNIMETAL SURFACE FINISHING LLC	135 S MAIN ST	THOMASTON	LITCHFIELD	CT	067871740	YES	NO	NO	NO								332813						41.669448	-73.077663	001171131										REPLACEMENT OF SOME NITRIC-BEARING CHEMISTRIES WITH PEROXIDE-BASED ONES AWARENESS LEVELS RAISED ON THE MANUFACTURING FLOOR THROUGH TRAINING SESSIONS TO BRING THE EMPLOYEES KNOWLEDGE OF THE PROCESSES TO BEAR ON POSSIBLE SOLUTIONS.-W42:PEROXIDE REPLACING NITRIC IN SOME PROCESSES;T04:MANAGEMENT REVIEW OF PROCESSES FOR IMPROVEMENT OPPORTUNITIES.;T10:INCLUDING THE VENDORS IN DISCUSSIONS AND IMPLEMENTATION OF NEW PROCESSES FOR POSSIBLE REPLACEMENT CHEMISTRIES.;T11:FACILITY-WIDE TRAINING ACTIVITIES FOR PROCESS IMPROVEMENT OPPORTUNITIES.	NO	GLACAPRAJR@UNIMETAL.COM			NO	 	
06787QLTYR135SO	1311209106018	N511	NITRATE COMPOUNDS	TRI	2011	UNIMETAL SURFACE FINISHING LLC	135 S MAIN ST	THOMASTON	LITCHFIELD	CT	067871740	YES	NO	NO	NO								332813						41.669448	-73.077663	001171131										WE HAVE STARTED REPLACING SELECTED CHEMISTRIES CONTAINING NITRATE COMPOUNDS WITH A PEROXIDE-BASED PRODUCT.  THIS PRODUCT HAS ALMOST NO SIDE EFFECTS AND IS MUCH MORE ENVIRONMENTALLY FRIENDLY.-W42:PEROXIDE-BASED PRODUCT TO REPLACE A NITRIC-BASED ONE.  LOWER NITRATE LEVELS IN CLEANING RUSTPROOFING CHEMISTRIES.;T01:INTERNAL REVIEWS OF DISCHARGE DATA TO TARGET SPECIFIC CHEMISTRIES.;W58:REPLACEMENT OF NITRATE-BEARING CHEMISTRIES WITH VIABLE ALTERNATIVES.    ( I.E.PEROXIDE).;T04:MANAGEMENT REVIEW OF DISCHARGE ANALYSIS TO CONFIRM REDUCTION GOALS ARE BEING MET.;T06:ALL EMPLOYEES ARE AWARE OF, AND RESPONSIBLE FOR LOOKING OVER THEIR AREAS FOR WAYS TO IMPROVE PROCESSES AND REDUCE WASTE.;T10:VENDORS HAVE BEEN ENCOURAGED TO PROVIDE ALTERNATE CHEMISTRIES WHENEVER POSSIBLE FOR TRI LISTED COMPOUNDS IN THEIR PRODUCTS.	NO	GLACAPRAJR@UNIMETAL.COM			NO	 	
06111HPHDN100MI	1311209151947	N511	NITRATE COMPOUNDS	TRI	2011	KOHLER MIX SPECIALTIES LLC	100 MILK LN	NEWINGTON	HARTFORD	CT	06111	YES	NO	NO	NO								311511						41.70258	-72.74996	006481899								DEAN FOODS CO	929182210	-T10:AUDIT CHEMICALS FOR REPLACEMENTS	NO	RBANGALORE@MORNINGSTARFOODS.COM			NO	 	
06111HPHDN100MI	1311209151950	007697372	NITRIC ACID	TRI	2011	KOHLER MIX SPECIALTIES LLC	100 MILK LN	NEWINGTON	HARTFORD	CT	06111	YES	NO	NO	NO								311511						41.70258	-72.74996	006481899								DEAN FOODS CO	929182210	-T10:AUDIT OF CHEMICAL USED FOR ALTERNATIVES	NO	RBANGALORE@MORNINGSTARFOODS.COM			NO	 	
06852HCKST9WILT	1311209822345	000108883	TOLUENE	TRI	2011	HICKS & OTIS PRINTS INC	9 WILTON AVE	NORWALK	FAIRFIELD	CT	068514515	YES	NO	NO	NO								326130						41.120176	-73.417345	058865460										N/A	NO	DDICAMILLO@DORRIE.COM			NO	 	
06095WNDSR169OL	1311209584945	007440020	NICKEL	TRI	2011	BARNES AEROSPACE WINDSOR DIV	169 KENNEDY RD	WINDSOR	HARTFORD	CT	06095	YES	NO	NO	NO								336412						41.868098	-72.636576	001145481								BARNES GROUP INC	001145481	WE HAVE CONDUCTED SEVERAL LEAN MANUFACTURING OR KAIZEN EVENTS IN REGARDS TO FIX REPEATING SCHEDULES AND IMPLEMENTING VISUAL SCHEDULING TOOLS TO HELP REDUCE SET-UP ACTIVITIES AND REDUCE PRODUCT INVENTORY.	NO	JMENCHETTI@BARNESAERO.COM			YES	 	
06095WNDSR169OL	1311209584933	007440473	CHROMIUM	TRI	2011	BARNES AEROSPACE WINDSOR DIV	169 KENNEDY RD	WINDSOR	HARTFORD	CT	06095	YES	NO	NO	NO								336412						41.868098	-72.636576	001145481								BARNES GROUP INC	001145481	WE HAVE CONDUCTED SEVERAL LEAN MANUFACTURING OR KAIZEN EVENTS IN REGARDS TO FIX REPEATING SCHEDULES AND IMPLEMENTING VISUAL SCHEDULING TOOLS TO HELP REDUCE SET-UP ACTIVITIES AND REDUCE PRODUCT INVENTORY.	NO	JMENCHETTI@BARNESAERO.COM			YES	 	
06239THDLT39WAU	1311209697818	000117817	DI(2-ETHYLHEXYL) PHTHALATE	TRI	2011	DELTA RUBBER CO	39 WAUREGAN RD	DANIELSON	WINDHAM	CT	06239	YES	NO	NO	NO								326299						41.79293	-71.88494	001442599								N N INC	037905247	QUANTITY OF DEHP PROCESSES FOR REPORTING YEAR 2011 WAS 27069.18 LBS. THE QUANTITY PROCESSED FOR REPORTING YEAR 2010 WAS 24590 LBS; THEREFORE A FORM R WAS NOT SUBMITTED FOR 2010. DELTA IS A CUSTOM MOLDING OPERATION. IT IS NOT ACCURATE TO DETERMINE A PRODUCTION RATIO BY SIMPLE DIVISION. THE FASHION IN WHICH DIFFERENT AUTOMOTIVE PARTS ARE MOLDED AND OR POST CURED DIFFERS SIGNIFICANTLY, THEREFORE A 1 TO 1 COMPARISON IS NOT POSSIBLE.	NO	CVIOLETTE1220@ATT.NET			NO	 	
06610BRDGP50CRO	1311209640921	000107211	ETHYLENE GLYCOL	TRI	2011	BRIDGEPORT UNITED RECYCLING INC	50 CROSS ST	BRIDGEPORT	FAIRFIELD	CT	06610	YES	NO	NO	NO								562211						41.186485	-73.159156	002593887										BIOLOGICAL TREATMENT WAS INSTALLED AT THIS FACILITY AND PROVIDES EFFECTIVE TREATMENT OF THIS CHEMICAL.	NO	BMORRIS@UNITEDINDUSTRIALSERVICES.COM			NO	 	
06076CNNC RIVER	1311209592702	000050000	FORMALDEHYDE	TRI	2011	3M PURIFICATION INC	32 RIVER RD PO BOX 47	STAFFORD SPRINGS	TOLLAND	CT	06076	YES	NO	NO	NO								333999						41.949614	-72.304522	151179652								3M CO	006173082	-W36:ONGOING INSPECTIONS BY EHS, HOURLY EMPLOYEE INSPECTION TEAM, AND DAILY WALK AROUNDS;T04:OPERATOR INSPECTION TEAMS;T01:MANAGEMENT AUDITS;W19:BETTER SCHEDULING OF DELIVERIES AND RAW MATERIALS USAGE LEADS TO LESS WASTE MATERIAL	NO	JPFERA@MMM.COM			NO	 	
