TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	8/24/2017	
60473RMCLL168SC	1311208973560	001163195	DECABROMODIPHENYL OXIDE	TRI	2011	ARMACELL LLC	16800 S CANAL ST	SOUTH HOLLAND	COOK	IL	60473			YES	NO	NO	NO								326150						41.8585	-87.6389	830996646								ARMACELL US HOLDINGS INC		minimization of scrap	NO	MITCHELL.L.MINOR@ARMACELL.COM			NO	 	
11771CMMNDONECO	1311209429188	N420	LEAD COMPOUNDS	PBT	2011	COMMANDER TERMINALS LLC	ONE COMMANDER SQUARE	OYSTER BAY	NASSAU	NY	11771			YES	NO	NO	NO								424710						40.87467	-73.52693	019177757	602580867							GLOBAL PARTNERS LP	602580867	lead compounds are impurity in the fuel	NO	TKEEFE@GLOBALP.COM			YES	 	
11771CMMNDONECO	1311209429214	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2011	COMMANDER TERMINALS LLC	ONE COMMANDER SQUARE	OYSTER BAY	NASSAU	NY	11771			YES	NO	NO	NO								424710						40.87467	-73.52693	019177757	602580867							GLOBAL PARTNERS LP	602580867	PACs are impurity in the fuel product	NO	TKEEFE@GLOBALP.COM			NO	 	
12550SNCNC1184R	1311209429442	000071432	BENZENE	TRI	2011	GLOBAL COS LLC SOUTH TERMINAL	1184 RIVER RD	NEW WINDSOR	ORANGE	NY	12553			YES	NO	NO	NO								424710						41.480606	-74.01325									GLOBAL PARTNERS LP	602580867	Gasoline through put was minimum in 2011	NO	TKEEFE@GLOBALP.COM			NO	 	
12550SNCNC1184R	1311209429517	000108883	TOLUENE	TRI	2011	GLOBAL COS LLC SOUTH TERMINAL	1184 RIVER RD	NEW WINDSOR	ORANGE	NY	12553			YES	NO	NO	NO								424710						41.480606	-74.01325									GLOBAL PARTNERS LP	602580867	Gasoline throught put was limited in 2011	NO	TKEEFE@GLOBALP.COM			NO	 	
90749RCPRD1801E	1311209431459	000071432	BENZENE	TRI	2011	TESORO LOS ANGELES REFINERY-CARSON OPERATIONS	2350 E 223RD ST	CARSON	LOS ANGELES	CA	90810			YES	NO	NO	NO								424710						33.81323	-118.24298	002784932	037062007	CAD077227049		CA0000680				TESORO CORP	008133480	Tri data for the wilmington sales terminal (Wst) was combined with TRI data from the los angeles refinery (Lar)(Tri facility ID no.  90744txcrf2101e) for reporting years 2007 to 2010 when both the wst and lar were owned and operated by tesoro refining and marketing company.  As of april 26, 2011, the wst changed ownership to the tesoro logistics operations, LLC.  Starting with reporting year 2011, the wst TRI data is being reported separately from the lar tri.	NO	KENNETH.G.DAMI@TSOCORP.COM			NO	 	
28024DKNRGDUKEP	1311209395615	N450	MANGANESE COMPOUNDS	TRI	2011	DUKE ENERGY CAROLINAS LLC - ROGERS ENERGY COMPLEX	573 DUKE POWER RD	MOORESBORO	RUTHERFORD	NC	28114			YES	NO	NO	NO								221112						35.217222	-81.761111	043678986								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
28024DKNRGDUKEP	1311209395627	N458	MERCURY COMPOUNDS	PBT	2011	DUKE ENERGY CAROLINAS LLC - ROGERS ENERGY COMPLEX	573 DUKE POWER RD	MOORESBORO	RUTHERFORD	NC	28114			YES	NO	NO	NO								221112						35.217222	-81.761111	043678986								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
45202CGMMF10800	1311209396225	007664393	HYDROGEN FLUORIDE	TRI	2011	DYNEGY MIAMI FORT LLC	11021 BROWER RD	NORTH BEND	HAMILTON	OH	45052			YES	NO	NO	NO								221112						39.1131	-84.8031	078663113								DYNEGY INC	125636345	NA	NO	DAVID.ONUFER@DYNEGY.COM			NO	 	
45202CGMMF10800	1311209396249	N450	MANGANESE COMPOUNDS	TRI	2011	DYNEGY MIAMI FORT LLC	11021 BROWER RD	NORTH BEND	HAMILTON	OH	45052			YES	NO	NO	NO								221112						39.1131	-84.8031	078663113								DYNEGY INC	125636345	NA	NO	DAVID.ONUFER@DYNEGY.COM			YES	 	
45202CGMMF10800	1311209396252	N458	MERCURY COMPOUNDS	PBT	2011	DYNEGY MIAMI FORT LLC	11021 BROWER RD	NORTH BEND	HAMILTON	OH	45052			YES	NO	NO	NO								221112						39.1131	-84.8031	078663113								DYNEGY INC	125636345	NA	NO	DAVID.ONUFER@DYNEGY.COM			YES	 	
45202CGMMF10800	1311209396276	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2011	DYNEGY MIAMI FORT LLC	11021 BROWER RD	NORTH BEND	HAMILTON	OH	45052			YES	NO	NO	NO								221112						39.1131	-84.8031	078663113								DYNEGY INC	125636345	NA	NO	DAVID.ONUFER@DYNEGY.COM			NO	 	
45157CGBCK757OL	1311209396530	N020	ARSENIC COMPOUNDS	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
45157CGBCK757OL	1311209396567	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
45157CGBCK757OL	1311209396581	N100	COPPER COMPOUNDS	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
45157CGBCK757OL	1311209396617	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			NO	 	
45157CGBCK757OL	1311209396629	007664393	HYDROGEN FLUORIDE	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			NO	 	
45157CGBCK757OL	1311209396643	N450	MANGANESE COMPOUNDS	TRI	2011	DUKE ENERGY OHIO, INC. - W.C. BECKJORD STATION	757 U.S. RT 52	NEW RICHMOND	CLERMONT	OH	45157			YES	NO	NO	NO								221112						38.9914	-84.29757	006999189								DUKE ENERGY CORP	006996052	NA	NO	ERIN.CULBERT@DUKE-ENERGY.COM			YES	 	
