TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
30722CHMTC1904S	1312209993688	000092524	BIPHENYL	TRI	Pounds																		2012	NO	CHEM-TECH FINISHERS INC	1904 S HAMILTON ST	DALTON	WHITFIELD	GA	30722	YES	NO	NO	NO								314110						34.749524	-84.964945											33485	C 	DALTON UTILITIES	1200 VD PARROTT JR PARKWAY	DALTON	GA	WHITFIELD	30720							NO	BILLHARRISON@UNIVERSAL-TEXTILE.NET			NO	 	
31520LLDNVRT1BO	1312210480796	007782505	CHLORINE	TRI	Pounds																		2012	NO	ALLIED UNIVERSAL CORP	204 SCM RD	BRUNSWICK	GLYNN	GA	31523	YES	NO	NO	NO								325188						31.112112	-81.548129	004134623								ALLIED UNIVERSAL CORP		0		NA												NO	MAIL@ALLIEDUNIVERSAL.COM			NO	 	
30058WDBRD2399S	1312210057170	000091087	TOLUENE-2,6-DIISOCYANATE	TRI	Pounds																		2012	NO	WOODBRIDGE CORP	2399 S STONE MTN-LITHONIA RD	LITHONIA	DEKALB	GA	30058	YES	NO	NO	NO								326150						33.736476	-84.1173	194279857								WOODBRIDGE HOLDINGS	161659883	0		NA												NO	JOY_PEAVEYAKIN@WOODBRIDGEGROUP.COM			NO	 	
30058WDBRD2399S	1312210057168	000584849	TOLUENE-2,4-DIISOCYANATE	TRI	Pounds																		2012	NO	WOODBRIDGE CORP	2399 S STONE MTN-LITHONIA RD	LITHONIA	DEKALB	GA	30058	YES	NO	NO	NO								326150						33.736476	-84.1173	194279857								WOODBRIDGE HOLDINGS	161659883	0		NA												NO	JOY_PEAVEYAKIN@WOODBRIDGEGROUP.COM			NO	 	
30058WDBRD2399S	1312210057156	000111422	DIETHANOLAMINE	TRI	Pounds																		2012	NO	WOODBRIDGE CORP	2399 S STONE MTN-LITHONIA RD	LITHONIA	DEKALB	GA	30058	YES	NO	NO	NO								326150						33.736476	-84.1173	194279857								WOODBRIDGE HOLDINGS	161659883	0		NA												NO	JOY_PEAVEYAKIN@WOODBRIDGEGROUP.COM			NO	 	
31643LNGBRHWY34	1312210812475	000067561	METHANOL	TRI	Pounds																		2012	NO	LANGBOARD OSB	HWY 84 W	QUITMAN	BROOKS	GA	31643	YES	NO	NO	NO								321219						30.785557	-83.48111									THE LANGDALE CO	178114666	0		NA												NO	TPUTALA@LANGBOARD.COM			NO	 	
31643LNGBRHWY34	1312210812463	N420	LEAD COMPOUNDS	PBT	Pounds																		2012	NO	LANGBOARD OSB	HWY 84 W	QUITMAN	BROOKS	GA	31643	YES	NO	NO	NO								321219						30.785557	-83.48111									THE LANGDALE CO	178114666	0		NA												NO	TPUTALA@LANGBOARD.COM			YES	 	
31643LNGBRHWY34	1312210812451	000050000	FORMALDEHYDE	TRI	Pounds																		2012	NO	LANGBOARD OSB	HWY 84 W	QUITMAN	BROOKS	GA	31643	YES	NO	NO	NO								321219						30.785557	-83.48111									THE LANGDALE CO	178114666	0		NA												NO	TPUTALA@LANGBOARD.COM			NO	 	
31643LNGBRHWY34	1312210812448	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2012	NO	LANGBOARD OSB	HWY 84 W	QUITMAN	BROOKS	GA	31643	YES	NO	NO	NO								321219						30.785557	-83.48111									THE LANGDALE CO	178114666	0		NA												NO	TPUTALA@LANGBOARD.COM			NO	 	
31643LNGBRHWY34	1312210812436	000075070	ACETALDEHYDE	TRI	Pounds																		2012	NO	LANGBOARD OSB	HWY 84 W	QUITMAN	BROOKS	GA	31643	YES	NO	NO	NO								321219						30.785557	-83.48111									THE LANGDALE CO	178114666	0		NA												NO	TPUTALA@LANGBOARD.COM			NO	 	
30752HDSNNUSHWY	1312210536494	000872504	N-METHYL-2-PYRROLIDONE	TRI	Pounds																		2012	NO	IWG HIGH PERFORMANCE CONDUCTOR INC	13230 N MAIN ST	TRENTON	DADE	GA	30752	YES	NO	NO	NO								331421						34.876678	-85.507074	001326115								INTERNATIONAL WIRE GROUP	883498446	0		NA												NO	TRAVIS.DALTON@IWGHPC.COM			NO	 	
30752HDSNNUSHWY	1312210536470	007440508	COPPER	TRI	Pounds																		2012	NO	IWG HIGH PERFORMANCE CONDUCTOR INC	13230 N MAIN ST	TRENTON	DADE	GA	30752	YES	NO	NO	NO								331421						34.876678	-85.507074	001326115								INTERNATIONAL WIRE GROUP	883498446	0		NA												NO	TRAVIS.DALTON@IWGHPC.COM			YES	 	
30014CNTRC13100	1312210816777	000872504	N-METHYL-2-PYRROLIDONE	TRI	Pounds																		2012	NO	CONTRACT PACKAGING INC	13100 INDEPENDENCE DR	COVINGTON	NEWTON	GA	30014	YES	NO	NO	NO								325320						33.615278	-83.825	809135734										0		NA												NO	DENNIS.MOSS@KELLYREG.COM			NO	 	
30014CNTRC13100	1312210816106	000063252	CARBARYL	TRI	Pounds																		2012	NO	CONTRACT PACKAGING INC	13100 INDEPENDENCE DR	COVINGTON	NEWTON	GA	30014	YES	NO	NO	NO								325320						33.615278	-83.825	809135734										0		NA												NO	DENNIS.MOSS@KELLYREG.COM			NO	 	
30917CLBCR4152W	1312210199523	007440020	NICKEL	TRI	Pounds																		2012	NO	CLUB CAR INC	4125 WASHINGTON RD	EVANS	COLUMBIA	GA	30809	YES	NO	NO	NO								336999						33.5379	-82.12939	088605787								INGERSOLL-RAND CO	001368026	5	M2	COLUMBIA COUNTY POTW	6336 EVANS TO LOCK RD	EVANS	GA	COLUMBIA	30809							NO	CDRON@IRCO.COM			YES	 	
30917CLBCR4152W	1312210199511	007440473	CHROMIUM	TRI	Pounds																		2012	NO	CLUB CAR INC	4125 WASHINGTON RD	EVANS	COLUMBIA	GA	30809	YES	NO	NO	NO								336999						33.5379	-82.12939	088605787								INGERSOLL-RAND CO	001368026	5	M2	COLUMBIA COUNTY POTW	6336 EVANS TO LOCK RD	EVANS	GA	COLUMBIA	30809							NO	CDRON@IRCO.COM			YES	 	
