TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
29654THTRRBRICK	1312209980034	007439965	MANGANESE	TRI	Pounds																		2012	NO	THE TIMKEN CO - HONEA PATH FACILITY	415 BRICK MILL RD	HONEA PATH	ANDERSON	SC	29654	YES	NO	NO	NO								332721						34.483333	-82.416944	050196310								THE TIMKEN CO	001148717	0		NA												NO	DANIEL.MINNICH@TIMKEN.COM			YES	 	
29654THTRRBRICK	1312209980046	007440020	NICKEL	TRI	Pounds																		2012	NO	THE TIMKEN CO - HONEA PATH FACILITY	415 BRICK MILL RD	HONEA PATH	ANDERSON	SC	29654	YES	NO	NO	NO								332721						34.483333	-82.416944	050196310								THE TIMKEN CO	001148717	.68	M2	TOWN OF HONEA PATH	109 SANDERS STREET	HONEA PATH	SC	ANDERSON	29654							NO	DANIEL.MINNICH@TIMKEN.COM			YES	 	
29456DMLRC851PA	1312209982343	000107211	ETHYLENE GLYCOL	TRI	Pounds																		2012	NO	DAIMLER VANS MANUFACTURING LLC	8501 PALMETTO COMMERCE PKWY	LADSON	CHARLESTON	SC	29456	YES	NO	NO	NO								336112						32.965434	-80.106298	146664086								DAIMLER AG	825883080	250	O 	NORTH CHARLESTON SEWER DISTRICT WWTP HERBERT SITE	1000 HERBERT STREET	CHARLESTON	SC	CHARLESTON	294059320							NO	RUSS.MILLER@DAIMLER.COM			NO	 	
29456DMLRC851PA	1312209982356	000067561	METHANOL	TRI	Pounds																		2012	NO	DAIMLER VANS MANUFACTURING LLC	8501 PALMETTO COMMERCE PKWY	LADSON	CHARLESTON	SC	29456	YES	NO	NO	NO								336112						32.965434	-80.106298	146664086								DAIMLER AG	825883080	0		NA												NO	RUSS.MILLER@DAIMLER.COM			NO	 	
29483HPPSM194LD	1312209986280	007439921	LEAD	TRI	Pounds																		2012	NO	CONCRETE PIPE & PRECAST LLC - SUMMERVILLE	1094 OLD DAIRY RD	SUMMERVILLE	BERKELEY	SC	29483	YES	NO	NO	NO								327332						33.07564	-80.20579									CONCRETE PIPE & PRECAST LLC		0		NA												NO	JBLANKENSHIP@CONCRETEPANDP.COM			YES	 	
29605NPPNC1250P	1312209894827	000100425	STYRENE	TRI	Pounds																		2012	NO	NIPPON CARBIDE INDUSTRIES	1250 PERIMETER RD	GREENVILLE	GREENVILLE	SC	29605	YES	NO	NO	NO								325211						34.7579	-82.3617	015799463										66	O 	WCRSA/SLATER-MARIETTA	561 MAULDIN RD	GREENVILLE	SC	GREENVILLE	29607							NO	BSTEVES@NCI-SC.COM			NO	 	
29918FDRLC1PRIS	1312209896012	007439921	LEAD	TRI	Pounds																		2012	NO	FEDERAL CORRECTIONAL INSTITUTION ESTILL	100 PRISON RD	ESTILL	HAMPTON	SC	29918	YES	NO	YES	NO								922140						32.72053	-81.25554									US DEPARTMENT OF JUSTICE		0		NA												YES	TNIGG@BOP.GOV			YES	 	
29501NTRNT1435N	1312209896760	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	Pounds																		2012	NO	INTERNATIONAL KNIFE & SAW INC	1435 N CASHUA RD	FLORENCE	FLORENCE	SC	29501	YES	NO	NO	NO								332710						34.219609	-79.796577									INTERNATIONAL KNIFE & SAW INC		0		NA												NO	MGRAY@IKSINC.COM			YES	 	
29644HLLYK101CA	1312209903576	N230	CERTAIN GLYCOL ETHERS	TRI	Pounds																		2012	NO	HOLLY OAK CHEMICAL INC	101 CASE ST	FOUNTAIN INN	GREENVILLE	SC	29644	YES	NO	NO	NO								325613						34.690556	-82.198611	040709680								HOLLYOAK CHEMICAL INC	040709680	250	C 	DURBIN CREEK PLANT W.C.R.S.A.	DURBIN CKREEK ROAD	FOUNTAIN INN	SC	LAURENS	29644							NO	JAMESC@HOLLYOAKCHEM.COM			NO	 	
29644HLLYK101CA	1312209903588	000050000	FORMALDEHYDE	TRI	Pounds																		2012	NO	HOLLY OAK CHEMICAL INC	101 CASE ST	FOUNTAIN INN	GREENVILLE	SC	29644	YES	NO	NO	NO								325613						34.690556	-82.198611	040709680								HOLLYOAK CHEMICAL INC	040709680	5	E2	DURBIN CREEK PLANT W.C.R.S.A.	DURBIN CKREEK ROAD	FOUNTAIN INN	SC	LAURENS	29644							NO	JAMESC@HOLLYOAKCHEM.COM			NO	 	
