REPORTING YEAR	TRADE SECRET INDICATOR	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	QUANTITY RELEASED PRIOR YEAR	QUANTITY RELEASED CURRENT YEAR	QUANTITY RELEASED FOLLOWING YEAR	QUANTITY RELEASED SECOND FOLLOWING YEAR	ENERGY RECOVERY ONSITE PRIOR YEAR	ENERGY RECOVERY ONSITE CURRENT YEAR	ENERGY RECOVERY ONSITE FOLLOWING YEAR	ENERGY RECOVERY ONSITE SECOND FOLLOWING YEAR	ENERGY RECOVERY OFFSITE PRIOR YEAR	ENERGY RECOVERY OFFSITE CURRENT YEAR	ENERGY RECOVERY OFFSITE FOLLOWING YEAR	ENERGY RECOVERY OFFSITE SECOND FOLLOWING YEAR	QUANTITY RECYCLED ONSITE PRIOR YEAR	QUANTITY RECYCLED ONSITE CURRENT YEAR	QUANTITY RECYCLED ONSITE FOLLOWING YEAR	QUANTITY RECYCLED ONSITE SECOND FOLLOWING YEAR	QUANTITY RECYCLED OFFSITE PRIOR YEAR	QUANTITY RECYCLED OFFSITE CURRENT YEAR	QUANTITY RECYCLED OFFSITE FOLLOWING YEAR	QUANTITY RECYCLED OFFSITE SECOND FOLLOWING YEAR	QUANTITY TREATED ONSITE PRIOR YEAR	QUANTITY TREATED ONSITE CURRENT YEAR	QUANTITY TREATED ONSITE FOLLOWING YEAR	QUANTITY TREATED ONSITE SECOND FOLLOWING YEAR	QUANTITY TREATED OFFSITE PRIOR YEAR	QUANTITY TREATED OFFSITE CURRENT YEAR	QUANTITY TREATED OFFSITE FOLLOWING YEAR	QUANTITY TREATED OFFSITE SECOND FOLLOWING YEAR	CATASTROPHIC RELEASES OR OTHER ONE-TIME EVENTS	PROD RATIO/ACTIVITY INDEX	FIRST SOURCE REDUCTION ACTIVITY	FIRST SOURCE REDUCTION ACTIVITY DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 1	FIRST SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 2	FIRST SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	FIRST SOURCE REDUCTION METHOD - CODE 3	FIRST SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	SECOND SOURCE REDUCTION ACTIVITY	SECOND SOURCE REDUCTION ACTIVITY DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 1	SECOND SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 2	SECOND SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	SECOND SOURCE REDUCTION METHOD - CODE 3	SECOND SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	THIRD SOURCE REDUCTION ACTIVITY	THIRD SOURCE REDUCTION ACTIVITY DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 1	THIRD SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 2	THIRD SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	THIRD SOURCE REDUCTION METHOD - CODE 3	THIRD SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	FOURTH SOURCE REDUCTION ACTIVITY	FOURTH SOURCE REDUCTION ACTIVITY DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 1	FOURTH SOURCE REDUCTION METHOD - CODE 1 DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 2	FOURTH SOURCE REDUCTION METHOD - CODE 2 DESCRIPTION	FOURTH SOURCE REDUCTION METHOD - CODE 3	FOURTH SOURCE REDUCTION METHOD - CODE 3 DESCRIPTION	ON-SITE LIMITED RELEASE PRIOR YEAR	ON-SITE LIMITED RELEASE CURRENT YEAR	ON-SITE LIMITED RELEASE FOLLOWING YEAR	ON-SITE LIMITED RELEASE SECOND FOLLOWING YEAR	ON-SITE OTHER RELEASE PRIOR YEAR	ON-SITE OTHER RELEASE CURRENT YEAR	ON-SITE OTHER RELEASE FOLLOWING YEAR	ON-SITE OTHER RELEASE SECOND FOLLOWING YEAR	OFF-SITE LIMITED RELEASE PRIOR YEAR	OFF-SITE LIMITED RELEASE CURRENT YEAR	OFF-SITE LIMITED RELEASE FOLLOWING YEAR	OFF-SITE LIMITED RELEASE SECOND FOLLOWING YEAR	OFF-SITE OTHER RELEASE PRIOR YEAR	OFF-SITE OTHER RELEASE CURRENT YEAR	OFF-SITE OTHER RELEASE FOLLOWING YEAR	OFF-SITE OTHER RELEASE SECOND FOLLOWING YEAR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
2013	NO	0764WCNNGN15MER	COINING INC	15 MERCEDES DR	MONTVALE	BERGEN	NJ	07645			YES	NO	NO	NO								332116						41.047948	-74.062786	002002368								AMETEK INC	001345149	1313211235104	007440508	COPPER	TRI	Pounds																		0	0	0	0	0	0	0	0	0	0	0	0	6592	5898	6000	6000	5851	0	5000	5000	0	0	0	0	0	0	0	0		1.18	W13	IMPROVED MAINTENANCE SCHEDULING, RECORDKEEPING, OR PROCEDURES	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NO	JOSEPH.SPERANZA@AMETEK.COM			YES	 	
2013	NO	0764WCNNGN15MER	COINING INC	15 MERCEDES DR	MONTVALE	BERGEN	NJ	07645			YES	NO	NO	NO								332116						41.047948	-74.062786	002002368								AMETEK INC	001345149	1313211235116	007439921	LEAD	TRI	Pounds																		2.5	0	0	0	0	0	0	0	0	0	0	0	26802	27463	27000	26000	0	4	5	5	0	0	0	0	0	0	0	0		1.25	W13	IMPROVED MAINTENANCE SCHEDULING, RECORDKEEPING, OR PROCEDURES	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	NO	JOSEPH.SPERANZA@AMETEK.COM			YES	 	
2013	NO	08857LDBRDOLDWA	OLD BRIDGE CHEMIACLS INC	554 OLD WATERWORKS RD	OLD BRIDGE	MIDDLESEX	NJ	08857			YES	NO	NO	NO								325188	325180					40.432944	-74.328669											1313211349978	N982	ZINC COMPOUNDS	TRI	Pounds																		500	628	650	650	0	0	0	0	0	0	0	0	0	0	0	0	0	558788	600000	600000	0	0	0	0	0	0	0	0		1.12	NA	NA																															0	0	0	0	500	500	500	500	0	84.48	100	100	0	43.52	50	50	NO	RMANLEY@OLDBRIDGECHEM.COM			YES	 	
2013	NO	08857LDBRDOLDWA	OLD BRIDGE CHEMIACLS INC	554 OLD WATERWORKS RD	OLD BRIDGE	MIDDLESEX	NJ	08857			YES	NO	NO	NO								325188	325180					40.432944	-74.328669											1313211349941	N100	COPPER COMPOUNDS	TRI	Pounds																		750	1520	51520	51520	0	0	0	0	0	0	0	0	0	0	0	0	0	541635	600000	600000	0	0	0	0	0	0	0	0		1.12	NA	NA																															0	0	0	0	500	1498	1500	1500	0	15.84	20	20	250	6.16	50000	50000	NO	RMANLEY@OLDBRIDGECHEM.COM			YES	 	
2013	NO	08857LDBRDOLDWA	OLD BRIDGE CHEMIACLS INC	554 OLD WATERWORKS RD	OLD BRIDGE	MIDDLESEX	NJ	08857			YES	NO	NO	NO								325188	325180					40.432944	-74.328669											1313211349966	N420	LEAD COMPOUNDS	PBT	Pounds																		0	4	30003	30003	0	0	0	0	0	0	0	0	0	0	0	0	0	46378	60000	60000	0	0	0	0	0	0	0	0	0	1.2	NA	NA																															0	0	0	0	0	0	0	0	0	2.52	3	3	0	1.48	30000	30000	NO	RMANLEY@OLDBRIDGECHEM.COM			YES	 	
2013	NO	08846MRSLN125FA	VEOLIA ES TECHNICAL SOLUTIONS LLC	125 FACTORY LN	MIDDLESEX	MIDDLESEX	NJ	08846			YES	NO	NO	NO								562211						40.560538	-74.520639	082184156								VEOLIA ENVIRONMENTAL SERVICES		1313211071511	000095476	O-XYLENE	TRI	Pounds																		59	80	105	126	0	0	0	0	25865	58865	70000	100000	182053	525107	800000	120000	0	0	0	0	0	0	0	0	12985	47825	75000	100000		1	W58	OTHER PROCESS MODIFICATIONS	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	13	14	15	16	0	0	0	0	46	66	90	110	NO	MICHAEL.PIKULIN@VEOLIAES.COM			NO	 	
2013	NO	08846MRSLN125FA	VEOLIA ES TECHNICAL SOLUTIONS LLC	125 FACTORY LN	MIDDLESEX	MIDDLESEX	NJ	08846			YES	NO	NO	NO								562211						40.560538	-74.520639	082184156								VEOLIA ENVIRONMENTAL SERVICES		1313211071547	000108883	TOLUENE	TRI	Pounds																		2983.2	3417.9192	4250	4900	0	0	0	0	2299151	2410868	2400000	2500000	222124	565245	650000	700000	0	0	0	0	0	0	0	0	531475.29	724131.7108	800000	850000	292.2	1	W58	OTHER PROCESS MODIFICATIONS	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	275.2	339.8	750	900	0	.3383	0	0	2708	3077.7809	3500	4000	NO	MICHAEL.PIKULIN@VEOLIAES.COM			NO	 	
2013	NO	08846MRSLN125FA	VEOLIA ES TECHNICAL SOLUTIONS LLC	125 FACTORY LN	MIDDLESEX	MIDDLESEX	NJ	08846			YES	NO	NO	NO								562211						40.560538	-74.520639	082184156								VEOLIA ENVIRONMENTAL SERVICES		1313211071497	000110543	N-HEXANE	TRI	Pounds																		1004	874	950	985	0	0	0	0	272787	184586	165000	150000	209038	113538	100000	85000	0	0	0	0	0	0	0	0	53912	52432	55000	60000		1	W58	OTHER PROCESS MODIFICATIONS	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	492	220	200	185	0	0	0	0	512	654	750	800	NO	MICHAEL.PIKULIN@VEOLIAES.COM			NO	 	
2013	NO	08846MRSLN125FA	VEOLIA ES TECHNICAL SOLUTIONS LLC	125 FACTORY LN	MIDDLESEX	MIDDLESEX	NJ	08846			YES	NO	NO	NO								562211						40.560538	-74.520639	082184156								VEOLIA ENVIRONMENTAL SERVICES		1313211071434	000075092	DICHLOROMETHANE	TRI	Pounds																		8884	5781.218	5775	5750	0	0	0	0	1620054	1410428	1000000	950000	1234256	304836	200000	150000	0	0	0	0	0	0	0	0	135217.25	261879.822	300000	350000	0	1	W58	OTHER PROCESS MODIFICATIONS	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	8030	4961	5000	5000	0	.1604	0	0	854	820.0576	775	750	NO	MICHAEL.PIKULIN@VEOLIAES.COM			NO	 	
2013	NO	08846MRSLN125FA	VEOLIA ES TECHNICAL SOLUTIONS LLC	125 FACTORY LN	MIDDLESEX	MIDDLESEX	NJ	08846			YES	NO	NO	NO								562211						40.560538	-74.520639	082184156								VEOLIA ENVIRONMENTAL SERVICES		1313211071485	000108101	METHYL ISOBUTYL KETONE	TRI	Pounds																		678.99	556.5972	650	695	0	0	0	0	382473	408524	410000	420000	69658	63570	60000	55000	0	0	0	0	0	0	0	0	74918.24	100849.5328	100000	100000	51.95	1	W58	OTHER PROCESS MODIFICATIONS	T04	PARTICIPATIVE TEAM MANAGEMENT																													0	0	0	0	192.99	29.05	50	45	0	0	0	0	486	527.5472	600	650	NO	MICHAEL.PIKULIN@VEOLIAES.COM			NO	 	
